さいたま市	埼玉県	35.9112415	139.6452585
つくば市	茨城県	36.1229798	140.1094275
一宮市	愛知県	35.3066886	136.8012748
三宮	兵庫県神戸市中央区	34.6927568	135.1891398
上京区	京都府京都市	35.0247956	135.7528789
上目黒	東京都目黒区	35.6440074	139.6976678
上野	東京都台東区	35.7097652	139.7762696
下京区	京都府京都市	34.9954342	135.7511698
下北沢	東京都世田谷区	35.6657466	139.6698140
下関市	山口県	34.1526262	130.9319742
世田谷区	東京都	35.6355522	139.6551811
両国	東京都墨田区	35.6944869	139.7939013
中京区	京都府京都市	35.0102086	135.7556529
中区	愛知県名古屋市	35.1634690	136.9077286
中央区	大阪府大阪市	34.6778823	135.5076289
中央区	東京都	35.6763800	139.7704222
中目黒	東京都目黒区	35.6404480	139.7013033
中野区	東京都	35.7083102	139.6689288
丸の内	東京都千代田区	35.6807733	139.7649621
久留米市	福岡県	33.3040329	130.5833910
五反田	東京都品川区	35.6259400	139.7204049
京都市	京都府	35.0133902	135.7537835
京都都市圏	京都府	34.9786907	135.7724826
仙台市	宮城県	38.2581718	140.8749616
代々木	東京都渋谷区	35.6796665	139.6963174
代官山町	東京都渋谷区	35.6500543	139.7039343
伏見	愛知県名古屋市中区	35.1711810	136.9067988
伏見区	京都府京都市	34.9369249	135.7501077
住吉区	大阪府大阪市	34.6100987	135.5042356
佐賀市	佐賀県	33.3280297	130.3134218
倉敷市	岡山県	34.5287699	133.8103885
八王子市	東京都	35.6475796	139.3251330
六本木	東京都港区	35.6618106	139.7344264
函館市	北海道	41.7799617	140.7484371
前橋市	群馬県	36.4132527	139.1247799
北九州市	福岡県	33.8923354	130.8480531
北区	京都府京都市	35.0410944	135.7447723
北区	大阪府大阪市	34.7027785	135.5026577
北区	東京都	35.7577731	139.7388494
千代田区	東京都	35.6875766	139.7524049
千種区	愛知県名古屋市	35.1691824	136.9594811
千葉市	千葉県	35.6288462	140.1407586
千駄ケ谷	東京都渋谷区	35.6815587	139.7064687
南区	京都府京都市	34.9660948	135.7412015
博多区	福岡県福岡市	33.5718852	130.4314621
原宿	東京都渋谷区	35.6686885	139.7080815
右京区	京都府京都市	35.0275304	135.7035936
吉祥寺	東京都武蔵野市	35.7038023	139.5805936
名古屋市	愛知県	35.1488988	136.9028158
名駅	愛知県名古屋市中村区	35.1715100	136.8860553
吹田市	大阪府	34.7788620	135.5164962
和歌山市	和歌山県	34.2322448	135.1441372
品川区	東京都	35.6204935	139.7293986
四日市市	三重県	34.9646723	136.5673505
堺市	大阪府	34.5540728	135.5062038
墨田区	東京都	35.7123321	139.8065955
多摩市	東京都	35.6373652	139.4384502
大分市	大分県	33.2284955	131.7321188
大宮区	埼玉県さいたま市	35.9003837	139.6204945
大森	東京都大田区	35.5774979	139.7297423
大津市	滋賀県	35.0725201	135.9061074
大阪市	大阪府	34.6879051	135.5233323
大須	愛知県名古屋市中区	35.1597876	136.9038942
天王寺区	大阪府大阪市	34.6621518	135.5224656
天白区	愛知県名古屋市	35.1291694	136.9847605
奈良市	奈良県	34.6832287	135.7848115
姫路市	兵庫県	34.8311634	134.6878446
宇都宮市	栃木県	36.5834293	139.8554726
宮崎市	宮崎県	31.8757424	131.4291608
富山市	富山県	36.7131136	137.2557197
小樽市	北海道	43.2092352	140.9422482
尼崎市	兵庫県	34.7414062	135.4040409
尾道市	広島県	34.3655016	133.1480336
山形市	山形県	38.2259786	140.3169031
山科区	京都府京都市	34.9756880	135.8169519
岐阜市	岐阜県	35.4472343	136.7528175
岡山市	岡山県	34.7516424	133.9648867
岡崎市	愛知県	34.9712333	137.2508169
川口市	埼玉県	35.8343969	139.7220921
川崎区	神奈川県川崎市	35.5195745	139.7178751
川崎市	神奈川県	35.5756552	139.6157416
川越市	埼玉県	35.9091384	139.4662916
左京区	京都府京都市	35.0663700	135.7977278
帯広市	北海道	42.8357171	143.1537587
平塚市	神奈川県	35.3434456	139.3301272
広島市	広島県	34.3874914	132.4560959
徳島市	徳島県	34.0871890	134.5379733
恵比寿	東京都渋谷区	35.6452473	139.7166205
所沢市	埼玉県	35.8035626	139.4725308
文京区	東京都	35.7181593	139.7510607
新宿	東京都新宿区	35.6913151	139.7068795
新宿区	東京都	35.7034143	139.7155231
新潟市	新潟県	37.8533299	138.9468452
日本橋	東京都中央区	35.6815766	139.7743355
日比谷	東京都千代田区	35.6721630	139.7582505
明石市	兵庫県	34.6715440	134.9521301
昭和区	愛知県名古屋市	35.1463151	136.9368585
札幌市	北海道	43.0626213	141.3562443
杉並区	東京都	35.6931491	139.6235670
東京	東京都	35.6920445	139.7372011
東京都	東京都	35.6778272	139.6018904
東区	愛知県名古屋市	35.1824845	136.9253144
東大阪市	大阪府	34.6692281	135.6048743
東山区	京都府京都市	34.9980745	135.7758984
東灘区	兵庫県神戸市	34.7195099	135.2721390
松山市	愛媛県	33.8372565	132.7568266
松戸市	千葉県	35.8057462	139.9386089
松本市	長野県	36.2332980	137.9667286
松江市	島根県	35.4743995	133.0521295
板橋区	東京都	35.7677874	139.6753067
柏市	千葉県	35.8582726	139.9879564
栄	愛知県名古屋市中区	35.1654889	136.9041688
横浜市	神奈川県	35.4478582	139.6444619
歌舞伎町	東京都新宿区	35.6957755	139.7027756
此花区	大阪府大阪市	34.6769463	135.4289125
